date,escalation_score_mean,escalation_score_std,escalation_score_min,escalation_score_max,escalation_score_count,article_length_mean,article_length_sum,title_length_mean,region_<lambda>,topic_<lambda>,hour_avg,day_of_week_mode,escalation_score_mean_lag1,escalation_score_mean_lag7,escalation_score_mean_lag30,escalation_score_ma7,escalation_score_ma30,escalation_score_std7,year,month,day,quarter,day_of_year,week_of_year,is_weekend,is_month_start,is_month_end,month_sin,month_cos,day_sin,day_cos,dow_sin,dow_cos,time_trend,time_trend_sq,volatility_7d,volatility_30d,escalation_change,escalation_pct_change,momentum_3d,momentum_7d,position_in_30d_range
2024-01-01,0.3496714153011233,,0.3496714153011233,0.3496714153011233,1,63.0,63,32.0,taiwan,general,0.0,0,,,,,,,2024,1,1,1,1,1,0,1,0,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.0,1.0,0,0,,,,,,,
2024-01-02,0.37743686642896174,,0.37743686642896174,0.37743686642896174,1,63.0,63,32.0,taiwan,general,0.0,1,0.3496714153011233,,,,,,2024,1,2,1,2,1,0,0,0,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306,0.7818314824680298,0.6234898018587336,1,1,,,0.02776545112783846,0.07940440628790868,,,
2024-01-03,0.48796760469882017,,0.48796760469882017,0.48796760469882017,1,63.0,63,32.0,taiwan,general,0.0,2,0.37743686642896174,,,,,,2024,1,3,1,3,1,0,0,0,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,0.9749279121818236,-0.22252093395631434,2,4,,,0.11053073826985843,0.2928456335376599,,,
2024-01-04,0.5331343134423498,,0.5331343134423498,0.5331343134423498,1,63.0,63,32.0,taiwan,general,0.0,3,0.48796760469882017,,,,,,2024,1,4,1,4,1,0,0,0,0.49999999999999994,0.8660254037844387,0.72479278722912,0.6889669190756866,0.43388373911755823,-0.900968867902419,3,9,,,0.04516670874352968,0.0925608755757612,0.18346289814122657,,
2024-01-05,0.2810917849233373,,0.2810917849233373,0.2810917849233373,1,63.0,63,32.0,taiwan,general,0.0,4,0.5331343134423498,,,,,,2024,1,5,1,5,1,0,0,0,0.49999999999999994,0.8660254037844387,0.8486442574947509,0.5289640103269624,-0.433883739117558,-0.9009688679024191,4,16,,,-0.25204252851901254,-0.4727561557454827,-0.09634508150562443,,
2024-01-06,0.23581760206806776,,0.23581760206806776,0.23581760206806776,1,63.0,63,32.0,taiwan,general,0.0,5,0.2810917849233373,,,,,,2024,1,6,1,6,1,1,0,0,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,-0.9749279121818236,-0.2225209339563146,5,25,,,-0.045274182855269546,-0.16106547855042175,-0.2521500026307524,,
2024-01-07,0.44339834166902936,,0.44339834166902936,0.44339834166902936,1,63.0,63,32.0,taiwan,general,0.0,6,0.23581760206806776,,,0.3869311326473842,,0.10823429734639527,2024,1,7,1,7,1,1,0,0,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,-0.7818314824680299,0.6234898018587334,6,36,0.10823429734639527,,0.2075807396009616,0.8802597337116689,-0.08973597177332049,,
2024-01-08,0.44526151399242936,,0.44526151399242936,0.44526151399242936,1,63.0,63,32.0,taiwan,general,0.0,0,0.44339834166902936,0.3496714153011233,,0.40058686103185653,,0.10877865381863698,2024,1,8,1,8,2,0,0,0,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,0.0,1.0,7,49,0.10877865381863698,,0.0018631723233999975,0.004202028172650918,0.16416972906909205,0.09559009869130608,
2024-01-09,0.4024383144888355,,0.4024383144888355,0.4024383144888355,1,63.0,63,32.0,taiwan,general,0.0,1,0.44526151399242936,0.37743686642896174,,0.40415849646898133,,0.10830126402116183,2024,1,9,1,9,2,0,0,0,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,0.7818314824680298,0.6234898018587336,8,64,0.10830126402116183,,-0.04282319950359387,-0.09617538942366799,0.16662071242076773,0.025001448059873754,
2024-01-10,0.5234626952170399,,0.5234626952170399,0.5234626952170399,1,63.0,63,32.0,taiwan,general,0.0,2,0.4024383144888355,0.48796760469882017,,0.40922922368586995,,0.1135814847195375,2024,1,10,1,10,2,0,0,0,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,0.9749279121818236,-0.22252093395631434,9,81,0.1135814847195375,,0.12102438072820443,0.3007277795652379,0.08006435354801056,0.03549509051821975,
2024-01-11,0.3671935124036242,,0.3671935124036242,0.3671935124036242,1,63.0,63,33.0,taiwan,general,0.0,3,0.5234626952170399,0.5331343134423498,,0.3855233949660519,,0.0999043605779687,2024,1,11,1,11,2,0,0,0,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626,0.43388373911755823,-0.900968867902419,10,100,0.0999043605779687,,-0.15626918281341573,-0.2985297409753772,-0.07806800158880517,-0.16594080103872566,
2024-01-12,0.2767260933473703,,0.2767260933473703,0.2767260933473703,1,63.0,63,33.0,taiwan,general,0.0,4,0.3671935124036242,0.2810917849233373,,0.3848997247409138,,0.10067559824050498,2024,1,12,1,12,2,0,0,0,0.49999999999999994,0.8660254037844387,0.6513724827222223,-0.758758122692791,-0.433883739117558,-0.9009688679024191,11,121,0.10067559824050498,,-0.09046741905625388,-0.2463753198253973,-0.12571222114146519,-0.004365691575967001,
